symbol,ma_type,ma_period,mode,rr,trades,win_rate,profit_factor,total_return,max_drawdown,positive_month_rate,avg_monthly_pnl,median_monthly_pnl,monthly_pnl_std,withdrawn_total,final_equity,total_wealth,consistency_score
EURUSD,sma,50,pullback,2.0,151,0.1325,0.2946,-0.4845,0.4845,0.0588,-16.29,0.0,30.82,0.0,2062.02,2062.02,0.021891
EURUSD,sma,50,pullback,2.5,151,0.1258,0.3486,-0.4591,0.4648,0.1008,-15.43,0.0,33.35,17.45,2146.06,2163.51,0.03809
EURUSD,sma,55,flip,1.5,193,0.3938,0.8663,-0.1098,0.1308,0.3109,-3.69,0.0,36.92,14.05,3546.62,3560.67,0.184915
EURUSD,sma,55,flip,2.0,193,0.3627,1.0297,0.0267,0.0954,0.3445,0.9,0.0,46.53,346.65,3760.33,4106.98,0.197059
EURUSD,sma,55,flip,2.5,193,0.3161,1.0406,0.0383,0.1228,0.3277,1.29,0.0,51.43,280.67,3872.67,4153.34,0.174986
EURUSD,sma,55,slope_flip,1.5,58,0.2931,0.5569,-0.1247,0.1247,0.1261,-4.19,0.0,21.17,0.0,3501.15,3501.15,0.087241
EURUSD,sma,55,slope_flip,2.0,58,0.2586,0.6271,-0.1115,0.1115,0.1092,-3.75,0.0,23.71,0.0,3553.85,3553.85,0.074869
EURUSD,sma,55,slope_flip,2.5,58,0.2069,0.6143,-0.1186,0.1214,0.1008,-3.99,0.0,25.94,0.0,3525.43,3525.43,0.066905
EURUSD,sma,55,pullback,1.5,156,0.1474,0.2276,-0.5192,0.5192,0.0924,-17.45,0.0,30.12,0.0,1923.04,1923.04,0.032284
EURUSD,sma,55,pullback,2.0,156,0.141,0.2945,-0.4855,0.4855,0.1092,-16.32,0.0,32.61,0.0,2058.0,2058.0,0.039929
EURUSD,sma,55,pullback,2.5,155,0.129,0.3167,-0.4738,0.4738,0.1176,-15.93,0.0,34.75,0.0,2104.89,2104.89,0.043162
EURUSD,sma,89,flip,1.5,128,0.5078,1.423,0.2021,0.0495,0.3248,6.91,0.0,31.01,573.95,4234.35,4808.3,0.222475
EURUSD,sma,89,flip,2.0,128,0.4609,1.5889,0.3129,0.0607,0.3162,10.7,0.0,37.09,921.71,4329.89,5251.6,0.202948
EURUSD,sma,89,flip,2.5,128,0.4141,1.6421,0.3681,0.0759,0.2991,12.59,0.0,41.86,1111.15,4361.43,5472.58,0.181473
EURUSD,sma,89,slope_flip,1.5,38,0.5526,1.6696,0.0855,0.0457,0.1624,2.92,0.0,19.36,349.49,3992.59,4342.08,0.12477
EURUSD,sma,89,slope_flip,2.0,38,0.5263,1.9655,0.1336,0.0458,0.1538,4.57,0.0,24.32,472.12,4062.21,4534.34,0.112583
EURUSD,sma,89,slope_flip,2.5,38,0.4474,1.9101,0.1388,0.0462,0.1368,4.75,0.0,27.39,506.43,4048.85,4555.28,0.097172
EURUSD,sma,89,pullback,1.5,94,0.234,0.4217,-0.2623,0.2623,0.0855,-8.97,0.0,27.35,0.0,2950.65,2950.65,0.046987
EURUSD,sma,89,pullback,2.0,91,0.1868,0.431,-0.2617,0.2617,0.0855,-8.95,0.0,26.59,0.0,2953.11,2953.11,0.047358
EURUSD,sma,89,pullback,2.5,91,0.1758,0.5037,-0.2371,0.2371,0.1111,-8.11,0.0,28.68,0.0,3051.65,3051.65,0.062396
EURUSD,sma,100,flip,1.5,128,0.4375,1.0389,0.0206,0.0785,0.2672,0.71,0.0,33.8,256.51,3825.7,4082.2,0.173105
EURUSD,sma,100,flip,2.0,128,0.3984,1.209,0.1189,0.0937,0.25,4.1,0.0,39.53,587.18,3888.46,4475.64,0.151654
EURUSD,sma,100,flip,2.5,128,0.3438,1.2178,0.1338,0.1158,0.2586,4.61,0.0,45.47,617.16,3918.11,4535.26,0.145812
EURUSD,sma,100,slope_flip,1.5,37,0.3784,0.8444,-0.0259,0.0733,0.1207,-0.89,0.0,17.07,140.14,3756.38,3896.52,0.092175
EURUSD,sma,100,slope_flip,2.0,37,0.3514,1.0218,0.0037,0.0726,0.1121,0.13,0.0,19.89,238.84,3776.01,4014.85,0.083238
EURUSD,sma,100,slope_flip,2.5,37,0.2973,1.0251,0.0046,0.0688,0.0948,0.16,0.0,22.99,226.07,3792.16,4018.23,0.068593
EURUSD,sma,100,pullback,1.5,87,0.2069,0.3628,-0.2831,0.2831,0.0862,-9.76,0.0,25.6,0.0,2867.73,2867.73,0.04682
EURUSD,sma,100,pullback,2.0,87,0.2069,0.4894,-0.2326,0.2414,0.0948,-8.02,0.0,29.05,15.07,3054.37,3069.44,0.052772
EURUSD,sma,100,pullback,2.5,86,0.186,0.5401,-0.2148,0.2309,0.1121,-7.41,0.0,32.94,26.9,3114.07,3140.97,0.06105
EURUSD,wma,21,flip,1.5,388,0.4381,1.0763,0.1179,0.1961,0.5667,3.93,11.97,56.95,829.47,3642.13,4471.6,0.266103
EURUSD,wma,21,flip,2.0,388,0.3995,1.2368,0.4068,0.1444,0.5917,13.56,20.58,66.01,1628.53,3998.47,5627.01,0.277374
EURUSD,wma,21,flip,2.5,388,0.366,1.3576,0.6568,0.1677,0.625,21.89,28.67,75.54,2259.57,4367.74,6627.32,0.26756
EURUSD,wma,21,slope_flip,1.5,116,0.4655,1.2315,0.1013,0.056,0.3833,3.38,0.0,32.74,460.14,3945.1,4405.24,0.256781
EURUSD,wma,21,slope_flip,2.0,116,0.4397,1.4721,0.2163,0.0588,0.3667,7.21,0.0,37.92,890.6,3974.59,4865.19,0.234113
EURUSD,wma,21,slope_flip,2.5,116,0.3793,1.4366,0.2165,0.0564,0.3333,7.22,0.0,40.74,788.99,4077.19,4866.18,0.208411
EURUSD,wma,21,pullback,1.5,419,0.222,0.3864,-0.7401,0.7408,0.225,-24.67,-21.34,37.99,0.0,1039.71,1039.71,0.039546
EURUSD,wma,21,pullback,2.0,412,0.2063,0.4698,-0.6797,0.6797,0.2583,-22.66,-21.75,44.81,0.0,1281.34,1281.34,0.053044
EURUSD,wma,21,pullback,2.5,404,0.1856,0.5115,-0.6536,0.6536,0.2667,-21.79,-21.56,47.41,0.0,1385.71,1385.71,0.058003
EURUSD,wma,34,flip,1.5,303,0.3993,0.9011,-0.1154,0.2281,0.4706,-3.88,0.0,51.48,0.0,3538.55,3538.55,0.221013
EURUSD,wma,34,flip,2.0,303,0.363,1.055,0.0736,0.1686,0.4538,2.47,0.0,59.74,318.36,3975.97,4294.33,0.215985
EURUSD,wma,34,flip,2.5,303,0.3498,1.2451,0.3483,0.133,0.5126,11.71,7.2,66.61,1234.71,4158.31,5393.02,0.242511
EURUSD,wma,34,slope_flip,1.5,90,0.4333,1.0613,0.0214,0.0932,0.3109,0.72,0.0,26.75,85.84,3999.71,4085.55,0.2113
EURUSD,wma,34,slope_flip,2.0,90,0.4,1.2423,0.0887,0.0955,0.2857,2.98,0.0,31.68,288.73,4066.22,4354.95,0.185105
EURUSD,wma,34,slope_flip,2.5,90,0.4,1.5418,0.2029,0.0917,0.3025,6.82,0.0,37.34,595.56,4215.84,4811.4,0.187351
EURUSD,wma,34,pullback,1.5,295,0.2237,0.3874,-0.6087,0.6187,0.2437,-20.46,-14.03,37.87,0.0,1565.08,1565.08,0.063074
EURUSD,wma,34,pullback,2.0,291,0.2199,0.5181,-0.5249,0.5373,0.2521,-17.64,-14.52,43.55,0.0,1900.34,1900.34,0.075528
EURUSD,wma,34,pullback,2.5,288,0.2014,0.5734,-0.492,0.5088,0.2773,-16.54,-12.74,46.8,0.0,2032.03,2032.03,0.085932
EURUSD,wma,50,flip,1.5,255,0.3922,0.8736,-0.1326,0.1584,0.3529,-4.46,0.0,45.89,0.0,3469.78,3469.78,0.188751
EURUSD,wma,50,flip,2.0,255,0.3451,0.9766,-0.0269,0.1102,0.3445,-0.91,0.0,48.17,0.0,3892.26,3892.26,0.191355
EURUSD,wma,50,flip,2.5,255,0.3098,1.0538,0.0656,0.1084,0.4118,2.21,0.0,52.77,251.36,4011.18,4262.54,0.221207
EURUSD,wma,50,slope_flip,1.5,73,0.4658,1.2182,0.0605,0.0537,0.2689,2.03,0.0,27.85,254.4,3987.43,4241.83,0.18875
EURUSD,wma,50,slope_flip,2.0,73,0.4247,1.4091,0.1198,0.0495,0.2437,4.03,0.0,32.7,438.85,4040.48,4479.33,0.16442
EURUSD,wma,50,slope_flip,2.5,73,0.3699,1.4283,0.135,0.0597,0.2185,4.54,0.0,34.98,456.06,4083.78,4539.84,0.142939
